timestamp,endpoint,symbol,resolution,range_from,range_to,date_format,cont_flag,oi_flag,status_code,message
2026-09-06 22:15:31,/history,NSE:NIFTY50-INDEX,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:15:31,/history,NSE:NIFTY50-INDEX,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:15:33,/history,NSE:NIFTY50-INDEX,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:15:34,/history,NSE:NIFTY50-INDEX,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:36,/history,NSE:NIFTY50-INDEX,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:37,/history,NSE:NIFTY50-INDEX,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:37,/history,NSE:NIFTY50-INDEX,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:37,/history,NSE:NIFTY50-INDEX,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:40,/history,NSE:NIFTY26SEPFUT,5S,2026-05-29,2026-06-28,1,1,1,200,ok
2026-09-06 22:15:43,/history,NSE:NIFTY26SEPFUT,5S,2026-06-29,2026-07-29,1,1,1,200,ok
2026-09-06 22:15:45,/history,NSE:NIFTY26SEPFUT,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:15:47,/history,NSE:NIFTY26SEPFUT,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:51,/history,NSE:NIFTY26SEPFUT,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:52,/history,NSE:NIFTY26SEPFUT,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:52,/history,NSE:NIFTY26SEPFUT,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:53,/history,NSE:NIFTY26SEPFUT,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:53,/history,NSE:NIFTY2690823900PE,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:15:53,/history,NSE:NIFTY2690823900PE,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:15:53,/history,NSE:NIFTY2690823900CE,5S,2026-05-29,2026-06-28,1,1,1,200,no_data
2026-09-06 22:15:53,/history,NSE:NIFTY2690823900CE,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:53,/history,NSE:NIFTY2690823900PE,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900CE,1,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900CE,5S,2026-06-29,2026-07-29,1,1,1,200,no_data
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900PE,5,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900CE,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900PE,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900CE,60,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900PE,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:15:54,/history,NSE:NIFTY2690823900PE,D,2026-05-29,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:55,/history,NSE:NIFTY2690823900PE,5S,2026-08-30,2026-09-06,1,1,1,200,ok
2026-09-06 22:15:56,/history,NSE:NIFTY2690823900CE,5S,2026-07-30,2026-08-29,1,1,1,200,ok
2026-09-06 22:15:57,/history,NSE:NIFTY2690823900CE,5S,2026-08-30,2026-09-06,1,1,1,200,ok
